TRACK_ID	ARTIST_ID	ALBUM_ID	PATH	DURATION	TAGS
track_0000247	artist_000005	album_000033	47/247.mp3	85.9	genre---pop, genre---rock
track_0000759	artist_000103	album_000124	59/759.mp3	379.8	genre---pop
track_0000760	artist_000103	album_000124	60/760.mp3	187.0	genre---pop
track_0000761	artist_000103	album_000124	61/761.mp3	203.3	genre---pop
track_0000762	artist_000103	album_000124	62/762.mp3	407.0	genre---pop
track_0000763	artist_000103	album_000124	63/763.mp3	145.9	genre---pop
track_0000764	artist_000103	album_000124	64/764.mp3	220.2	genre---pop
track_0000765	artist_000103	album_000124	65/765.mp3	233.0	genre---pop
track_0000766	artist_000103	album_000125	66/766.mp3	216.5	genre---pop, genre---popfolk
track_0000767	artist_000103	album_000125	67/767.mp3	235.2	genre---pop
track_0000768	artist_000103	album_000125	68/768.mp3	293.0	genre---pop
track_0000769	artist_000103	album_000125	69/769.mp3	84.3	genre---pop
track_0000770	artist_000103	album_000125	70/770.mp3	216.1	genre---pop
track_0000771	artist_000103	album_000125	71/771.mp3	160.5	genre---pop
track_0000772	artist_000103	album_000125	72/772.mp3	274.9	genre---pop
track_0000808	artist_000114	album_000131	08/808.mp3	265.6	genre---pop, genre---rock
track_0000809	artist_000114	album_000131	09/809.mp3	213.0	genre---pop, genre---rock
track_0000810	artist_000114	album_000131	10/810.mp3	642.4	genre---pop, genre---rock
track_0000843	artist_000114	album_000136	43/843.mp3	298.7	genre---pop, genre---rock
track_0000844	artist_000114	album_000136	44/844.mp3	172.3	genre---pop, genre---rock
track_0000851	artist_000099	album_000139	51/851.mp3	131.9	genre---disco, genre---funk, genre---pop, genre---rnb
track_0000852	artist_000099	album_000139	52/852.mp3	250.7	genre---disco, genre---funk, genre---pop, genre---rnb
track_0000853	artist_000099	album_000139	53/853.mp3	226.1	genre---disco, genre---funk, genre---pop, genre---rnb
track_0000854	artist_000099	album_000139	54/854.mp3	246.9	genre---disco, genre---funk, genre---pop, genre---rnb
track_0000855	artist_000099	album_000139	55/855.mp3	208.4	genre---disco, genre---funk, genre---pop
track_0000856	artist_000099	album_000139	56/856.mp3	182.2	genre---disco, genre---funk, genre---pop, genre---rnb
track_0001091	artist_000159	album_000173	91/1091.mp3	138.1	genre---electronic, genre---pop
track_0001092	artist_000159	album_000173	92/1092.mp3	437.3	genre---electronic, genre---pop
track_0001093	artist_000159	album_000173	93/1093.mp3	237.3	genre---electronic, genre---pop
track_0001094	artist_000159	album_000173	94/1094.mp3	271.6	genre---electronic, genre---pop
track_0001095	artist_000159	album_000173	95/1095.mp3	312.1	genre---electronic, genre---pop
track_0001096	artist_000159	album_000173	96/1096.mp3	749.3	genre---electronic, genre---pop
track_0001097	artist_000159	album_000173	97/1097.mp3	354.1	genre---electronic, genre---pop
